Nama_Negara,Jenis_Kelamin,Umur,Tahun,Tingkat Pengangguran (%),Kurs_2022,Kurs_2022_usd,Region
Morocco,Total,"Age (Youth, adults): 25+",2022,9.2,10.1606602430359,0.09841880114881298,Africa
Madagascar,Total,"Age (Youth, adults): 25+",2022,2.215,4096.11618374535,0.00024413370010555556,Africa
Mexico,Total,"Age (Youth, adults): 25+",2022,2.547,20.12735,0.04968363942595523,North America
North Macedonia,Total,"Age (Youth, adults): 25+",2022,13.026,58.5743916666667,0.01707230705340942,Europe
Mali,Total,"Age (Youth, adults): 25+",2022,2.103,623.759700911182,0.0016031814792446674,Africa
Mali,Total,"Age (Youth, adults): 25+",2022,2.103,9.864208972115335,0.1013766033167842,Africa
Malta,Total,"Age (Youth, adults): 25+",2022,2.864,0.949623753156941,1.0530486381322999,Europe
Montenegro,Total,"Age (Youth, adults): 25+",2022,12.99,0.950915533962108,1.0516181135808933,Europe
Mongolia,Total,"Age (Youth, adults): 25+",2022,5.312,3140.67788364809,0.00031840259875311975,Asia
Mozambique,Total,"Age (Youth, adults): 25+",2022,4.701,63.8508333333333,0.015661502721186105,Africa
Mauritius,Total,"Age (Youth, adults): 25+",2022,4.529,44.182775,0.02263325470163429,Africa
Malaysia,Total,"Age (Youth, adults): 25+",2022,2.33,4.40107634540072,0.227217144516258,Asia
New Caledonia,Total,"Age (Youth, adults): 25+",2022,7.735,113.474367224106,0.008812562911455164,Oceania
Niger,Total,"Age (Youth, adults): 25+",2022,0.405,623.759700911182,0.0016031814792446674,Africa
Nigeria,Total,"Age (Youth, adults): 25+",2022,3.018,425.979158066857,0.0023475326927686235,Africa
Netherlands,Total,"Age (Youth, adults): 25+",2022,2.644,0.949623753156941,1.0530486381322999,Europe
Norway,Total,"Age (Youth, adults): 25+",2022,2.141,9.61416666666667,0.1040131750021669,Europe
New Zealand,Total,"Age (Youth, adults): 25+",2022,2.256,1.57718333333333,0.6340416988090597,Oceania
Panama,Total,"Age (Youth, adults): 25+",2022,6.165,1.0,1.0,North America
Peru,Total,"Age (Youth, adults): 25+",2022,3.569,3.83518137473542,0.2607438611867444,South America
Philippines,Total,"Age (Youth, adults): 25+",2022,1.908,54.477785837205,0.01835610578939978,Asia
Papua New Guinea,Total,"Age (Youth, adults): 25+",2022,2.46,3.51922970506745,0.2841530913881718,Oceania
Poland,Total,"Age (Youth, adults): 25+",2022,2.31,4.45775833333333,0.224327997442661,Europe
Portugal,Total,"Age (Youth, adults): 25+",2022,5.23,0.949623753156941,1.0530486381322999,Europe
Paraguay,Total,"Age (Youth, adults): 25+",2022,4.837,6982.75237776692,0.00014321000457985584,South America
Qatar,Total,"Age (Youth, adults): 25+",2022,0.09,3.64,0.2747252747252747,Asia
Romania,Total,"Age (Youth, adults): 25+",2022,4.462,4.688475,0.21328896922773394,Europe
Russian Federation,Total,"Age (Youth, adults): 25+",2022,3.252,68.4849416666667,0.014601750044079025,Europe
Rwanda,Total,"Age (Youth, adults): 25+",2022,13.04,1030.30829974206,0.0009705832712891397,Africa
Saudi Arabia,Total,"Age (Youth, adults): 25+",2022,4.596,3.75,0.26666666666666666,Asia
Sudan,Total,"Age (Youth, adults): 25+",2022,6.167,546.75885,0.0018289598787472757,Africa
Senegal,Total,"Age (Youth, adults): 25+",2022,4.561,623.759700911182,0.0016031814792446674,Africa
Singapore,Total,"Age (Youth, adults): 25+",2022,3.287,1.37866666666667,0.7253384912959363,Asia
El Salvador,Total,"Age (Youth, adults): 25+",2022,2.017,1.0,1.0,North America
San Marino,Total,"Age (Youth, adults): 25+",2022,4.29,0.950915533962108,1.0516181135808933,Europe
Serbia,Total,"Age (Youth, adults): 25+",2022,7.393,111.662183333333,0.00895558344058891,Europe
Slovenia,Total,"Age (Youth, adults): 25+",2022,3.545,0.949623753156941,1.0530486381322999,Europe
Sweden,Total,"Age (Youth, adults): 25+",2022,5.518,10.114251277564,0.0988703931271963,Europe
Togo,Total,"Age (Youth, adults): 25+",2022,1.704,623.759700911182,0.0016031814792446674,Africa
Thailand,Total,"Age (Youth, adults): 25+",2022,0.514,35.0613502144776,0.02852143439664449,Asia
Trinidad and Tobago,Total,"Age (Youth, adults): 25+",2022,3.711,6.75412896099475,0.148057581632661,North America
Tunisia,Total,"Age (Youth, adults): 25+",2022,12.878,3.1036,0.32220646990591567,Africa
Türkiye,Total,"Age (Youth, adults): 25+",2022,8.8,16.5488604173067,0.060427121552986574,Asia
Tuvalu,Total,"Age (Youth, adults): 25+",2022,4.758,9.864208972115335,0.1013766033167842,Oceania
Uruguay,Total,"Age (Youth, adults): 25+",2022,5.341,41.1710833333333,0.024288892082428425,South America
Viet Nam,Total,"Age (Youth, adults): 25+",2022,1.056,23271.2125,4.2971546927346395e-05,Asia
Samoa,Total,"Age (Youth, adults): 25+",2022,3.225,2.68899764734059,0.3718857846487879,Oceania
South Africa,Total,"Age (Youth, adults): 25+",2022,29.717,16.3558534845,0.061140190632526334,Africa
Zambia,Total,"Age (Youth, adults): 25+",2022,4.941,16.9375943252989,0.0590402616094274,Africa
Zimbabwe,Total,"Age (Youth, adults): 25+",2022,7.997,374.954362604663,0.0026669912387560623,Africa
